"","pop","male_pop","white_pop","hisp_pop","med_age","black_pop","asian_pop","nonfluent_english_pop","pov","inc_under10","inc_10to15","inc_15to20","inc_20to25","inc_25to30","inc_30to35","inc_35to40","inc_40to45","inc_45to50","inc_50to60","inc_60to75","inc_75to100","inc_100to125","inc_125to150","inc_150to200","inc_over200","medianinc","ed_LThighschool","ed_college","year","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","zip_code"
"65",3516,1471,1621,428,19.2,120,1154,6,90,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9219,7,76,2011,46.1035267349261,12.1729237770193,32.8213879408419,3.41296928327645,41.8373151308305,0.170648464163823,3.25581395348837,35.3488372093023,2.55972696245734,"90089"
"66",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90090"
"67",4994,2398,2651,201,33.1,485,1170,26,340,156,39,85,182,83,100,70,83,18,101,232,243,278,69,379,518,86579,0,2973,2011,53.0837004405286,4.02482979575491,23.4281137364838,9.71165398478174,48.0176211453744,0.52062474969964,0,82.3089700996678,6.80816980376452,"90094"
"68",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90095"
"69",101584,51265,3297,96747,27.3,1033,351,48020,26126,1529,1958,1945,1711,2074,1892,1588,1652,1204,2202,2425,2636,828,432,278,70,38482,27979,2467,2011,3.24558985667034,95.2384233737596,0.345526854622775,1.01689242400378,50.4656245077965,47.271223814774,56.9048974943052,5.01749105109014,25.7186171050559,"90201"
"70",21719,10356,18313,1522,45.7,320,944,617,1501,347,387,353,205,121,173,249,122,190,273,362,617,760,441,756,3142,129539,324,7060,2011,84.3178783553571,7.00768912012524,4.34642478935494,1.47336433537456,47.6817533035591,2.84083060914407,3.00612358508072,65.5038040452774,6.91099958561628,"90210"
"71",8097,3326,6911,310,38.9,316,598,37,581,242,102,153,110,124,104,34,86,148,207,468,522,268,263,269,410,74212,48,2225,2011,85.3525997282944,3.82857848585896,7.38545140175374,3.9026800049401,41.0769420773126,0.456959367667037,1.15718418514947,53.6403085824494,7.1754970976905,"90211"
"72",11836,5680,9366,560,41.3,362,1111,85,642,210,137,148,222,143,178,155,165,130,544,558,655,582,264,329,966,78575,214,5101,2011,79.1314633322068,4.7313281514025,9.38661710037175,3.0584656978709,47.9891855356539,0.718148022980737,3.08891454965358,73.628752886836,5.42412977357215,"90212"
"73",50741,24070,1155,28949,27.7,18989,357,11763,11403,1205,849,796,823,841,889,696,759,621,1051,1373,1517,982,364,256,65,42974,8991,1909,2011,2.27626574170789,57.0524822135945,0.703573047436984,37.4233854279577,47.4369838986224,23.1824362941211,38.5400145741352,8.18294826182005,22.4729508681343,"90220"
"74",51535,25173,669,39065,26.5,10756,239,16514,12951,675,701,946,620,696,888,791,730,561,1249,1392,1049,467,348,267,63,43184,11896,1102,2011,1.29814689046279,75.8028524303871,0.463762491510624,20.8712525468128,48.8464150577278,32.0442417774328,49.5336442371752,4.58860759493671,25.1304938391385,"90221"
