"","year","county","zip_code","SASH_sys_installed","SASH_avg_size_DC","SASH_avg_incentive","SASH_avg_syscost","total_sys_installed","total_avg_size_DC","SASH_installations_share","county_medianinc","pop","med_age","pov","inc_under10","inc_over200","medianinc","ed_LThighschool","ed_college","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","SASH_install_rate_10000","total_install_rate_10000","inc_threshold","inc_under15","inc_under20","inc_under25","inc_under30","inc_under35","inc_under40","inc_under45","inc_under50","inc_under60","inc_under75","inc_under100","inc_under125","inc_under150","inc_under200","total_hh","eligible_hh","eligibilityshare"
"39",2011,"Alameda","94703",0,0,0,0,20,0,0,70821,20593,35.4,3892,734,509,52000,809,7099,51.8622833001505,12.9024425775749,12.8975865585393,15.8986063225368,49.3274413635701,3.6128781624824,6.87866678003571,60.360513561772,18.8996260865343,0,9.71203807118924,56656.8,1366,1815,2324,2659,3033,3517,3907,4261,4836,5573,6633,7185,7692,8301,8810,4643.766,0.52710170261067
"40",2011,"Alameda","94704",0,0,0,0,5,0,0,70821,22873,21.8,7192,1932,234,33066,203,5021,43.076990337953,9.7319984260919,39.6318803829843,2.88549818563372,46.7450706072662,1.49084072924409,3.027591349739,74.8844146159582,31.4431862895116,0,2.18598347396494,56656.8,2486,2938,3341,3727,4216,4589,4840,5350,5915,6353,7196,7402,7703,7819,8053,5726.1092,0.711052924376009
"41",2011,"Alameda","94705",0,0,0,0,19,0,0,70821,12560,45.3,1022,277,1362,90645,65,5805,76.1544585987261,4.9203821656051,10.2468152866242,3.70222929936306,49.9761146496815,0.493630573248408,0.902151283830673,80.5690492713393,8.13694267515923,0,15.1273885350318,56656.8,600,801,964,1112,1167,1312,1450,1544,1860,2504,3081,3573,3943,4419,5781,1754.35488,0.303469102231448
"42",2011,"Alameda","94706",0,0,0,0,12,0,0,70821,19168,36.3,1567,299,801,73330,320,8696,53.938856427379,9.60976627712855,28.0050083472454,3.14586811352254,47.787979966611,1.26773789649416,2.78672820691457,75.7293390229034,8.17508347245409,0,6.26043405676127,56656.8,569,929,1310,1615,1833,2083,2299,2622,3248,3963,4872,5639,6304,6974,7775,3038.71568,0.390831598713826
"43",2011,"Alameda","94707",0,0,0,0,34,0,0,70821,12191,48.8,507,54,1364,129688,72,5779,80.2231154130096,3.51078664588631,11.9678451316545,0.442949717004347,47.3628086293167,0.344516446558937,1.07270560190703,86.0995232419547,4.1588056763186,0,27.8894266261997,56656.8,154,277,340,452,566,651,800,875,1078,1322,1917,2439,2894,3683,5047,1010.13304,0.200145242718447
"44",2011,"Alameda","94708",0,0,0,0,23,0,0,70821,11120,51.5,616,81,1362,140863,16,5110,77.5719424460432,3.91187050359712,11.2589928057554,1.6636690647482,49.2446043165468,0.377697841726619,0.266311584553928,85.0532623169108,5.53956834532374,0,20.6834532374101,56656.8,184,253,293,401,463,502,528,619,794,1068,1552,2068,2504,3325,4687,735.494,0.15692212502667
"45",2011,"Alameda","94709",0,0,0,0,5,0,0,70821,12584,29.6,2308,405,286,56670,124,5437,56.7546090273363,8.51080737444374,26.3429752066116,4.07660521296885,54.9586776859504,1.12841703750795,1.84441469582032,80.8716346868957,18.340750158932,0,3.97329942784488,56656.8,740,1008,1289,1526,1774,1998,2217,2353,2823,3278,3853,4270,4665,5063,5349,2665.8696,0.498386539540101
"46",2011,"Alameda","94710",0,0,0,0,4,0,0,70821,6205,34.9,1309,341,54,45125,531,1923,40.0483481063658,29.3473005640612,11.4907332796132,17.0024174053183,49.0249798549557,9.23448831587429,13.785046728972,49.9221183800623,21.0958904109589,0,6.4464141821112,56656.8,547,664,824,917,973,1082,1280,1379,1497,1656,2023,2205,2347,2511,2565,1457.55024,0.568245707602339
"47",2011,"Amador","95601",0,0,0,0,0,0,NA,56180,213,60.1,3,0,0,52162,3,33,100,0,0,0,55.3990610328638,0,3.84615384615385,42.3076923076923,1.40845070422535,0,0,44944,3,6,7,7,7,7,7,16,61,68,77,77,79,96,96,7,0.0729166666666667
"48",2011,"Amador","95629",0,0,0,0,4,0,0,56180,1041,49.4,275,0,21,63203,156,130,96.1575408261287,0,3.84245917387128,0,46.8780019212296,0,27.6595744680851,23.0496453900709,26.416906820365,0,38.4245917387128,44944,0,80,80,80,120,120,138,192,192,221,295,335,364,372,393,137.7984,0.350632061068702
