"","pop","male_pop","white_pop","hisp_pop","med_age","black_pop","asian_pop","nonfluent_english_pop","pov","inc_under10","inc_10to15","inc_15to20","inc_20to25","inc_25to30","inc_30to35","inc_35to40","inc_40to45","inc_45to50","inc_50to60","inc_60to75","inc_75to100","inc_100to125","inc_125to150","inc_150to200","inc_over200","ed_LThighschool","ed_college","year","county","county_medianinc","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate"
"52",62985,31320,45591,13491,39.4,418,768,4318,12796,1561,2181,1895,1764,1608,1747,1545,1285,1137,2085,2076,2071,1319,607,537,392,6001,4146,2011,"Tehama",38753,72.3839009287926,21.4193855679924,1.21933793760419,0.663650075414781,49.7261252679209,6.85560053981107,19.0019315411165,13.1281466704664,20.3159482416448
"53",13711,7116,11446,924,49.3,53,158,131,2366,325,484,507,434,468,394,382,311,243,405,618,442,319,186,133,80,621,1452,2011,"Trinity",37672,83.4804171832835,6.73911457953468,1.15235941944424,0.386550944497119,51.8999343592736,0.955437240172125,8.01600619594682,18.7427391248225,17.2562176354752
"54",436234,218666,145490,260798,29.5,7130,15151,82400,102165,9304,8415,8330,9295,8732,8038,7269,6514,5743,10588,11976,14101,8017,4883,4211,2908,64262,26381,2011,"Tulare",43550,33.351366468455,59.7839691541695,3.47313597747998,1.63444389937511,50.1258498879042,18.8889449240545,31.1673068715322,12.794882241105,23.4197701233742
"55",55736,29370,45448,5861,47.2,1172,605,989,6850,1109,1532,1334,1569,1262,1448,1181,850,1336,1829,2158,2448,1796,802,740,763,3606,4911,2011,"Tuolumne",47359,81.5415530357399,10.5156451844409,1.08547437921631,2.10277020238266,52.6948471365006,1.77443662982632,11.9368400145652,16.2567446787381,12.2900818142673
"56",815745,405416,402322,323735,36.2,14435,56230,108942,79964,9154,9697,9067,9734,9701,9757,8976,10796,9357,18340,25439,36292,30914,20797,23684,23277,73014,136961,2011,"Ventura",76728,49.3195790351151,39.685808677957,6.89308546175582,1.76954808181478,49.6988642284047,13.3549087030874,17.0094698955167,31.9066755192135,9.80257310801782
"57",198889,96986,99980,59340,30.1,5006,25626,18042,35674,4524,4153,3697,4069,3568,2320,2809,2927,2879,4961,6633,8273,6122,4403,4712,3810,13423,38229,2011,"Yolo",57920,50.2692456596393,29.8357375219343,12.8845738075007,2.51698183408836,48.7638833721322,9.07139158022817,14.150475969597,40.3008676034957,17.9366380242246
"58",71817,36252,42295,17687,31.7,1879,5030,5526,14222,1248,1548,1570,1477,1807,1282,1296,1426,935,2242,2634,2882,1667,745,691,435,7416,4508,2011,"Yuba",46617,58.8927412729577,24.6278736232368,7.00391272261442,2.6163721681496,50.4782990099837,7.69455699903922,20.4568023833168,12.4351759902902,19.8031106840999
"59",1515136,742993,516580,339441,36.6,185614,400465,111490,178897,27962,26522,21832,22214,20072,18978,18817,19120,18315,37308,49422,64887,55174,37958,47990,52608,103832,369691,2012,"Alameda",71516,34.0946291290023,22.4033354101546,26.4309606530371,12.2506494466503,49.0380401495311,7.35841535017319,12.1433408221479,43.236033321911,11.8073229069866
"60",1197,669,835,78,43.2,0,32,19,159,22,12,17,46,4,8,16,13,15,40,37,39,50,28,24,14,41,202,2012,"Alpine",59931,69.7577276524645,6.51629072681704,2.67335004177109,0,55.8897243107769,1.58730158730159,6.26911314984709,30.8868501529052,13.2832080200501
"61",37764,20542,30248,4673,48.4,985,486,584,3502,850,663,747,703,764,736,658,859,721,1321,1394,1756,1157,829,667,411,2600,3749,2012,"Amador",53462,80.097447304311,12.3742188327508,1.28693994280267,2.60830420506302,54.3957207922889,1.54644635102214,12.3750594954783,17.8438838648263,9.27338205698549
"62",220101,108961,165440,31256,37.3,3206,9241,7181,44156,6358,6427,5549,6354,5567,5089,4518,4024,3676,7510,7929,8986,6064,2541,2660,1822,13005,26290,2012,"Butte",43339,75.165492205851,14.2007532905348,4.19852703985897,1.45660401361193,49.5049999772832,3.26259308226678,12.1819850874892,24.6262505151935,20.0616989473015
"63",45507,22871,37944,4738,49.5,476,638,607,4643,989,1036,1158,841,1077,624,807,1210,694,1528,1822,2749,1547,1070,739,727,1472,4779,2012,"Calaveras",54686,83.3805788120509,10.4115850308744,1.40198211264201,1.04599292416551,50.2582020348518,1.33386072472367,6.14819146270153,19.9607384512572,10.2028259388665
"64",21329,11019,8535,11740,33.9,177,223,4387,3206,274,450,338,467,448,396,329,286,312,741,857,830,538,224,229,165,3203,1434,2012,"Colusa",52165,40.0159407379624,55.042430493694,1.04552487223967,0.829856064513104,51.6620563551972,20.5682404238361,30.5396643783371,13.6727688787185,15.0311782080735
"65",1052047,513441,503249,255128,38.5,96210,152283,79205,106304,14721,13782,13391,12491,12870,13001,12920,13772,12195,25624,34716,45778,40338,29057,36692,41797,62221,225588,2012,"Contra Costa",78187,47.8352202895878,24.2506275860299,14.4749236488484,9.14502869168393,48.8039983004562,7.52865603913133,10.8836766714886,39.459778096909,10.1044915293708
"66",28496,15677,18514,5119,38.8,1085,866,757,5380,721,1121,572,721,549,707,487,325,314,781,1087,1008,638,272,176,224,3133,2038,2012,"Del Norte",39626,64.9705221785514,17.96392476137,3.03902302077485,3.80755193711398,55.0147389107243,2.65651319483436,20.0242873577911,13.025693467979,18.8798427849523
"67",180441,90422,144479,21650,43.5,1354,6183,5332,14439,2363,2447,2475,2557,2838,3040,2750,2859,2723,5092,6929,9346,7013,4979,5298,5137,6373,31872,2012,"El Dorado",70117,80.0699397587023,11.9983817425086,3.42660481819542,0.750383781956429,50.1116708508598,2.95498251506032,6.4130172274996,32.0721300917727,8.00206161570818
