"","Application.Number","Current.Application.Status","Program.Administrator","Utility","Low.Income.Program.Type","Program","First.Reservation.Request.Review.Date","First.Confirmed.Reservation.Date","First.Incentive.Claim.Request.Review.Date","First.Completed.Date","Incentive.Amount","Total.System.Cost","Incentive.Design.Description","Nameplate.Rating..KW.","CEC.PTC.Rating..KW.","Design.Factor","Host.Customer.Physical.Address.City","Host.Customer.Physical.Address.County","Host.Customer.Physical.Address.State","Host.Customer.Physical.Address.Zip.Code","Solar.Contractor.Company","Third.Party.Owned"
"2996","08912","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/24/2012","11/6/2012","2/28/2013","3/22/2013",16202.79,16202.79,"$7 AC",3.15,2.737,0.87418,"Goshen","Tulare","CA","93227","","no"
"2997","08913","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/24/2012","1/25/2013","3/31/2013","4/22/2013",27468.31,27468.31,"$7 AC",4.88,4.288,1,"Visalia","Tulare","CA","93277","","no"
"2998","08914","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/24/2012","3/12/2013","3/31/2013","4/12/2013",15623.16,15623.16,"$7 AC",2.64,2.301,0.9791,"San Diego","San Diego","CA","92114","GRID Alternatives","no"
"2999","08915","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/24/2012","1/3/2013","3/31/2013","4/22/2013",44769.8,44769.8,"$6.5 AC",7.92,6.939,0.96249,"Hanford","Tulare","CA","93230","GRID Alternatives","no"
"3000","08916","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/25/2012","2/4/2013","4/17/2013","5/3/2013",13398.44,13398.44,"$7 AC",3.08,2.679,0.98379,"Goshen","Tulare","CA","93227","","no"
"3001","08917","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/25/2012","1/18/2013","2/28/2013","3/22/2013",21807.49,21807.49,"$7 AC",4.05,3.537,0.97307,"Lindsay","Tulare","CA","93247","","no"
"3002","08918","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/27/2012","9/25/2013","11/30/2013","12/12/2013",18533.21,18533.21,"$7 AC",3.76,3.286,0.9959,"Redding","Shasta","CA","96003","","no"
"3003","08919","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/25/2012","11/2/2012","12/31/2012","1/29/2013",19345.6,19345.6,"$6 AC",3.76,3.227,0.97331,"Fresno","Fresno","CA","93726","GRID Alternatives","no"
"3004","08921","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/5/2012","5/3/2013","8/31/2013","9/13/2013",16939,16939,"$6.5 AC",3,2.606,0.95323,"San Diego","San Diego","CA","92113","GRID Alternatives","no"
"3005","08924","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/8/2012","3/27/2013","5/28/2013","6/17/2013",24249.7,24249.7,"$6.5 AC",5.544,4.872,1,"Winchester","Riverside","CA","92596","","no"
"3006","08926","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/24/2012","12/14/2012","2/28/2013","6/17/2013",12582.75,15976.34,"$4.75 AC",3.055,2.649,0.91401,"Long Beach","Los Angeles","CA","90810","","no"
"3007","08936","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/26/2012","3/1/2013","3/31/2013","4/12/2013",27648,27648,"$6 AC",5.25,4.608,0.93779,"Spring Valley","San Diego","CA","91977","GRID Alternatives","no"
"3008","08937","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/14/2012","10/17/2012","11/30/2012","12/17/2012",11435.85,11435.85,"$7 AC",2.64,2.26,0.895,"Guadalupe","Santa Barbara","CA","93434","","no"
"3009","08938","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/31/2013","1/23/2014","4/30/2014","5/8/2014",14849.46,14849.46,"$7.00 AC",2.94,2.553,0.9899,"San Francisco","San Francisco","CA","94107","","no"
"3010","08939","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/26/2012","10/11/2012","1/31/2013","3/5/2013",16980.43,16980.43,"$6 AC",3.29,2.854,0.9989,"Los Angeles","Los Angeles","CA","90059","","no"
"3011","08943","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/3/2012","1/15/2013","6/24/2013","7/9/2013",22666.26,22666.26,"$7 AC",4.16,3.476,0.9825,"Compton","Los Angeles","CA","90221","GRID Alternatives","no"
"3012","08944","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/27/2012","1/25/2013","4/17/2013","5/2/2013",29133.64,29133.64,"$7 AC",5.04,4.398,0.948,"Farmersville","Tulare","CA","93223","GRID Alternatives","no"
"3013","08945","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/5/2012","10/12/2012","4/30/2013","5/22/2013",22459.94,22459.94,"$7 AC",3.68,3.261,0.9996,"Los Angeles","Los Angeles","CA","90059","","no"
"3014","08946","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/28/2012","2/1/2013","2/28/2013","5/1/2013",11480.53,11480.53,"$7 AC",2.64,2.296,0.9496,"Porterville","Tulare","CA","93257","","no"
